,user_id,cumulative_score,topic_id,topic_title,score,attempts,duration,result,problem_check,problem_check_correct,problem_check_incorrect,number_of_times_accessed,play_video,pause_video,reset_problem,seek_video,stop_video,processing_a,processing_r,perception_s,perception_i,reception_vi,reception_ve,understanding_s,understanding_g,click_forum,create_thread,delete_thread,create_comment,delete_comment,duration,percentage_of_completion,processing_a,processing_r,perception_s,perception_i,reception_vi,reception_ve,understanding_s,understanding_g,number_of_assignments_completed,number_of_topics_completed,NA,success_rate,average_time_spent_per_assignment
0,1,0.3804254790217355,4.10, Enquiry Questions,0,0,0,0,0,0,0,1,45,45,75,30,29,False,True,True,True,False,False,False,False,66,18,7,22,11,4861360,0.8860759493670886,False,False,False,True,True,False,False,False,0.003978300180831827,0,70,0,1
1,1,0.24232218767902747,2a2, Practice stress words,0.8474785601822019,69,23888835,2,57,37,15,9,23,23,9,30,5,False,False,True,True,False,True,False,True,95,55,26,80,56,697576,0.10126582278481013,True,False,True,True,False,True,False,True,0.14466546112115733,1,7,0,0.6491228070175439
2,1,0.22557433060523957,3.3, Interrogative words,0,0,0,0,0,0,0,7,71,71,58,52,58,False,False,True,True,True,True,False,False,63,51,14,54,20,2493733,0.3924050632911392,True,False,True,False,False,True,False,True,0.022049816251531237,0,31,0,0.6491228070175439
3,1,0.16305960586008983,3.7.1, Fractions,0,0,0,0,0,0,0,10,45,45,53,26,27,False,False,True,True,True,False,True,False,31,28,19,37,23,3502138,0.5189873417721519,False,True,True,False,True,True,True,True,0.011423278789749922,0,41,0,0.6491228070175439
4,1,0.6515093101870824,1.1, Tips to learn the language with easy methods,0,0,0,0,0,0,0,1,81,81,85,2,78,True,True,True,True,False,False,False,True,83,29,9,51,39,131848,0.02531645569620253,True,True,False,False,True,True,False,True,0.3227848101265823,0,2,0,0.6491228070175439
5,1,0.40693257002750827,3.2.4, Common gender,0,0,0,0,0,0,0,2,55,55,45,94,30,False,True,True,True,True,False,False,True,49,31,12,63,45,1882200,0.3037974683544304,True,False,False,False,True,True,True,False,0.03322784810126582,0,24,0,0.6491228070175439
6,1,0.9702490434487494,5.0, Vocabulary,0,0,0,0,0,0,0,6,84,84,99,100,5,False,True,True,False,True,True,True,True,34,33,19,72,13,6325674,0.8987341772151899,False,True,True,False,False,False,False,True,0.012836512747370297,0,71,0,0.6491228070175439
7,1,0.7254039354100011,3.15, Words relating to place of living,0,0,0,0,0,0,0,6,19,19,97,37,5,True,True,False,True,False,False,False,True,29,23,7,50,47,4288437,0.6455696202531646,False,False,True,False,False,True,True,True,0.012410027302060065,0,51,0,0.6491228070175439
8,1,0.6045511449341565,4.6, Conjunctions in Kannada,0,0,0,0,0,0,0,6,98,98,67,7,34,False,False,False,True,False,False,True,True,46,35,4,70,15,4101489,0.7974683544303798,True,True,False,True,False,True,True,False,0.014064697609001406,0,63,0,0.6491228070175439
9,1,0.9931029566784677,3.16, List of Words used in general communication,0,0,0,0,0,0,0,4,23,23,1,82,3,False,False,True,False,False,True,False,True,32,4,3,48,37,3900104,0.6582278481012658,False,True,True,True,True,False,True,False,0.011684518013631937,0,52,0,0.6491228070175439
10,1,0.3103336460511522,1.2, Hints for correct and polite conversation,0,0,0,0,0,0,0,9,91,91,54,71,78,True,False,True,True,False,False,True,True,69,33,5,37,13,181701,0.0379746835443038,True,False,False,True,True,True,False,True,0.15611814345991562,0,3,0,0.6491228070175439
11,1,0.6512200525605727,2a3, Write the equivalent English version choosing from the following list given below.,0.7841085978422033,61,14650980,3,59,58,0,3,58,58,50,68,19,True,True,False,False,True,False,True,False,44,25,18,60,58,884490,0.12658227848101267,False,False,False,False,False,False,False,True,0.08438818565400844,1,9,0,0.8189655172413793
