1	1	5.1	C	1514797918.0	1	1	1
0	1	3a17	A	1515429388.0	5.1	C	1514797918.0
1	1	3a6	A	1518101680.0	5.1,3a17	C,A	1514797918.0,1515429388.0
0	1	3a4	A	1518167519.0	5.1,3a17,3a6	C,A,A	1514797918.0,1515429388.0,1518101680.0
1	1	2a1	A	1522331958.0	5.1,3a17,3a6,3a4	C,A,A,A	1514797918.0,1515429388.0,1518101680.0,1518167519.0
0	1	5.2	C	1522346877.0	5.1,3a17,3a6,3a4,2a1	C,A,A,A,A	1514797918.0,1515429388.0,1518101680.0,1518167519.0,1522331958.0
1	1	3a8	A	1525809973.0	5.1,3a17,3a6,3a4,2a1,5.2	C,A,A,A,A,C	1514797918.0,1515429388.0,1518101680.0,1518167519.0,1522331958.0,1522346877.0
0	1	4a3	A	1527616340.0	5.1,3a17,3a6,3a4,2a1,5.2,3a8	C,A,A,A,A,C,A	1514797918.0,1515429388.0,1518101680.0,1518167519.0,1522331958.0,1522346877.0,1525809973.0
1	1	1.3	C	1529839847.0	5.1,3a17,3a6,3a4,2a1,5.2,3a8,4a3	C,A,A,A,A,C,A,A	1514797918.0,1515429388.0,1518101680.0,1518167519.0,1522331958.0,1522346877.0,1525809973.0,1527616340.0
0	1	3a10	A	1529843852.0	5.1,3a17,3a6,3a4,2a1,5.2,3a8,4a3,1.3	C,A,A,A,A,C,A,A,C	1514797918.0,1515429388.0,1518101680.0,1518167519.0,1522331958.0,1522346877.0,1525809973.0,1527616340.0,1529839847.0
1	1	3.7.1	C	1531018279.0	5.1,3a17,3a6,3a4,2a1,5.2,3a8,4a3,1.3,3a10	C,A,A,A,A,C,A,A,C,A	1514797918.0,1515429388.0,1518101680.0,1518167519.0,1522331958.0,1522346877.0,1525809973.0,1527616340.0,1529839847.0,1529843852.0
0	1	3a12	A	1532866878.0	5.1,3a17,3a6,3a4,2a1,5.2,3a8,4a3,1.3,3a10,3.7.1	C,A,A,A,A,C,A,A,C,A,C	1514797918.0,1515429388.0,1518101680.0,1518167519.0,1522331958.0,1522346877.0,1525809973.0,1527616340.0,1529839847.0,1529843852.0,1531018279.0
1	1	3.2.4	C	1536081807.0	5.1,3a17,3a6,3a4,2a1,5.2,3a8,4a3,1.3,3a10,3.7.1,3a12	C,A,A,A,A,C,A,A,C,A,C,A	1514797918.0,1515429388.0,1518101680.0,1518167519.0,1522331958.0,1522346877.0,1525809973.0,1527616340.0,1529839847.0,1529843852.0,1531018279.0,1532866878.0
0	1	3.8	C	1537660194.0	5.1,3a17,3a6,3a4,2a1,5.2,3a8,4a3,1.3,3a10,3.7.1,3a12,3.2.4	C,A,A,A,A,C,A,A,C,A,C,A,C	1514797918.0,1515429388.0,1518101680.0,1518167519.0,1522331958.0,1522346877.0,1525809973.0,1527616340.0,1529839847.0,1529843852.0,1531018279.0,1532866878.0,1536081807.0
1	1	5.0	C	1539950744.0	5.1,3a17,3a6,3a4,2a1,5.2,3a8,4a3,1.3,3a10,3.7.1,3a12,3.2.4,3.8	C,A,A,A,A,C,A,A,C,A,C,A,C,C	1514797918.0,1515429388.0,1518101680.0,1518167519.0,1522331958.0,1522346877.0,1525809973.0,1527616340.0,1529839847.0,1529843852.0,1531018279.0,1532866878.0,1536081807.0,1537660194.0
0	1	3.4	C	1540104909.0	5.1,3a17,3a6,3a4,2a1,5.2,3a8,4a3,1.3,3a10,3.7.1,3a12,3.2.4,3.8,5.0	C,A,A,A,A,C,A,A,C,A,C,A,C,C,C	1514797918.0,1515429388.0,1518101680.0,1518167519.0,1522331958.0,1522346877.0,1525809973.0,1527616340.0,1529839847.0,1529843852.0,1531018279.0,1532866878.0,1536081807.0,1537660194.0,1539950744.0
1	1	3a5	A	1540327238.0	5.1,3a17,3a6,3a4,2a1,5.2,3a8,4a3,1.3,3a10,3.7.1,3a12,3.2.4,3.8,5.0,3.4	C,A,A,A,A,C,A,A,C,A,C,A,C,C,C,C	1514797918.0,1515429388.0,1518101680.0,1518167519.0,1522331958.0,1522346877.0,1525809973.0,1527616340.0,1529839847.0,1529843852.0,1531018279.0,1532866878.0,1536081807.0,1537660194.0,1539950744.0,1540104909.0
