,user_id,cumulative_score,topic_id,topic_title,score,attempts,duration,result,problem_check,problem_check_correct,problem_check_incorrect,number_of_times_accessed,play_video,pause_video,reset_problem,seek_video,stop_video,processing_a,processing_r,perception_s,perception_i,reception_vi,reception_ve,understanding_s,understanding_g,click_forum,create_thread,delete_thread,create_comment,delete_comment,duration,percentage_of_completion,processing_a,processing_r,perception_s,perception_i,reception_vi,reception_ve,understanding_s,understanding_g,number_of_assignments_completed,number_of_topics_completed,NA,success_rate,average_time_spent_per_assignment
0,1,0.03336119672718485,4.8, Questions constructing words in Kannada,0,0,0,0,0,0,0,1,88,88,24,16,25,False,False,True,True,False,True,True,True,72,12,10,18,12,5354573,0.8481012658227848,False,True,True,False,False,True,True,True,0.0034007179293406384,0,67,0,1
1,1,0.6340604811482973,3a9, Match the genders,0.7023597213721187,96,31367520,3,75,3,66,3,87,87,2,55,25,True,False,True,False,False,True,False,True,67,8,7,44,41,2115782,0.3670886075949367,True,False,True,False,False,False,False,False,0.019891500904159132,1,28,0,0.04
2,1,0.4407374890314263,5a1, Match words,0.7771656044735202,61,13644297,3,52,0,49,4,99,99,52,54,9,True,False,False,False,True,False,False,False,24,11,4,43,14,5258550,0.9493670886075949,True,True,True,False,True,False,False,False,0.00735545672254533,1,74,0,0.023622047244094488
3,1,0.08093130477614441,1.1, Tips to learn the language with easy methods,0,0,0,0,0,0,0,6,81,81,37,14,63,True,False,True,True,True,True,False,False,20,15,5,52,38,164920,0.02531645569620253,True,False,True,True,False,False,False,True,0.3291139240506329,0,2,0,0.023622047244094488
4,1,0.9375662234894062,3.2, Gender,0,0,0,0,0,0,0,3,97,97,5,35,63,False,False,True,True,False,True,True,True,33,5,3,47,21,1599500,0.25316455696202533,True,False,False,True,True,False,True,False,0.029746835443037974,0,20,0,0.023622047244094488
5,1,0.37210168613796957,2a4, To accustom with the Kannada alphabets(Vowels) pronounce the words given in the table.,0.43426693475004585,4,811684,6,7,0,0,6,96,96,52,56,77,False,True,True,False,True,True,True,False,2,2,1,31,12,758208,0.1518987341772152,False,False,True,False,False,False,True,True,0.03567318757192175,1,11,0,0.022388059701492536
6,1,0.4501397654681507,3.7, List of Vegetables,0,0,0,0,0,0,0,1,1,1,4,92,0,True,False,True,False,False,False,True,False,0,0,0,0,0,2980880,0.5063291139240507,False,True,False,True,False,True,True,False,0.0,0,40,0,0.022388059701492536
7,1,0.7865614788411878,5.3, Conversation-3,0,0,0,0,0,0,0,3,35,35,69,35,6,False,False,False,True,False,False,False,True,65,59,40,61,8,5562876,0.9367088607594937,True,False,True,False,True,True,False,False,0.010434485118029422,0,74,0,0.022388059701492536
8,1,0.26057416692553226,4.3, Kannada adjectives and its usage,0,0,0,0,0,0,0,8,91,91,38,46,8,True,True,False,True,False,False,True,False,23,2,1,17,11,3709731,0.7215189873417721,True,True,False,True,True,False,True,True,0.003775260937153009,0,57,0,0.022388059701492536
9,1,0.5877754130977045,4a3, Identify adverbs in Kannada sentences,0.517556589401993,2,573488,5,7,1,2,1,69,69,81,13,29,False,True,False,True,False,False,False,True,37,14,8,15,10,3815666,0.7848101265822784,False,False,True,False,False,True,True,True,0.003112678979041295,1,61,0,0.028368794326241134
10,1,0.0237752300930969,2a2, Practice stress words,0.5653035651526046,56,16780792,5,63,36,19,8,5,5,56,18,5,True,True,False,False,False,True,True,True,71,1,0,0,0,489104,0.10126582278481013,False,True,True,False,False,True,True,False,0.0,1,7,0,0.19607843137254902
11,1,0.5491865890240626,4a4, Use of conjunctions in Kannada sentences,0.7468109739137547,65,14582945,3,65,58,6,1,71,71,93,73,16,False,False,False,True,True,True,False,False,29,26,19,26,25,5101952,0.810126582278481,False,False,True,False,False,False,False,True,0.005224030540486237,1,63,0,0.3643122676579926
12,1,0.44795621537546604,4a6, Translate Kannada sentences to english,0.7483571318039345,47,4923156,3,82,45,27,4,26,26,24,73,25,False,False,True,False,False,True,False,True,12,5,2,39,19,5033343,0.8734177215189873,False,False,False,True,False,False,True,False,0.007259865971705138,1,68,0,0.4074074074074074
13,1,0.9782773731079958,5.0, Vocabulary,0,0,0,0,0,0,0,3,60,60,15,39,53,True,False,False,True,False,True,True,True,16,2,1,26,12,5163262,0.8987341772151899,True,True,True,False,True,True,True,False,0.00463540738099483,0,71,0,0.4074074074074074
